volatility,portfolio_return,sharpe_ratio,w_Gold,w_Silver,w_Copper
0.174065495588684,0.17966752000308533,0.7736600499004358,0.8198315615428959,-1.7601123898454003e-23,0.180168438457104
0.1740664216911552,0.17995014287259126,0.7752795832847782,0.8219027481506364,1.2487084476013228e-23,0.17809725184936365
0.17406919996900577,0.18023276574209715,0.7768908328766736,0.8239739347583765,-3.2448036060247905e-24,0.17602606524162345
0.1740738303335517,0.18051538861160307,0.7784937480374572,0.8260451213661167,1.789445483058936e-23,0.1739548786338832
0.17408031263700194,0.180798011481109,0.7800882789329515,0.8281163079738569,1.5163175960453784e-23,0.171883692026143
0.1740886466724821,0.18108063435061492,0.7816743765412069,0.8301874945815972,-1.160180588834315e-23,0.16981250541840281
0.1740988321740673,0.18136325722012087,0.7832519926600215,0.8322586811893375,4.608619360424034e-24,0.16774131881066245
0.17411086881682478,0.18164588008962676,0.7848210799142386,0.8343298677970776,-9.202086172872951e-24,0.16567013220292243
0.17412475621686552,0.18192850295913265,0.7863815917628256,0.8364010544048176,9.234821442543754e-24,0.16359894559518237
0.17414049393140557,0.18221112582863858,0.78793348250572,0.838472241012558,-2.7684204995298965e-24,0.161527758987442
0.17415808145883646,0.18249374869814447,0.7894767072904516,0.8405434276202982,-4.64376061402697e-24,0.1594565723797018
0.1741775182388052,0.18277637156765045,0.7910112221185334,0.8426146142280386,9.670382789427756e-24,0.15738538577196143
0.17419880365230317,0.18305899443715634,0.7925369838516167,0.8446858008357788,1.0128039462089678e-23,0.1553141991642212
0.1742219370217649,0.18334161730666226,0.794053950217416,0.846756987443519,6.853389038274556e-24,0.153243012556481
0.1742469176111753,0.18362424017616819,0.7955620798153938,0.8488281740512592,1.8457994123730465e-23,0.15117182594874082
0.17427374462618686,0.18390686304567408,0.7970613321222084,0.8508993606589994,5.9290879258514e-24,0.1491006393410006
0.1743024172142453,0.18418948591517997,0.7985516674969232,0.8529705472667394,-1.5178805205845755e-23,0.1470294527332606
0.1743329344647249,0.18447210878468592,0.8000330471859702,0.8550417338744798,9.177721362207889e-25,0.1449582661255202
0.17436529540907228,0.18475473165419182,0.8015054333278774,0.85711292048222,1.1929199005626256e-23,0.14288707951777999
0.17439949902095994,0.18503735452369774,0.8029687889577457,0.8591841070899601,2.266290545369647e-24,0.14081589291003996
0.17443554421644786,0.18531997739320366,0.8044230780114862,0.8612552936977004,8.679089321169199e-24,0.13874470630229957
0.1744734298541547,0.18560260026270958,0.805868265329808,0.8633264803054407,1.9811548133975016e-23,0.13667351969455938
0.1745131547354374,0.18588522313221553,0.8073043166619619,0.865397666913181,2.908308349577623e-23,0.13460233308681901
0.17455471760457966,0.18616784600172143,0.8087311986692345,0.8674688535209212,8.939561359045253e-25,0.1325311464790788
0.17459811714898923,0.18645046887122735,0.8101488789281954,0.8695400401286614,1.470007129865609e-23,0.1304599598713386
0.1746433519994035,0.18673309174073327,0.811557325933697,0.8716112267364015,1.78058258979897e-24,0.12838877326359857
0.17469042073010388,0.18701571461023914,0.8129565091016236,0.8736824133441417,-2.3520335980840153e-26,0.12631758665585835
0.1747393218591386,0.1872983374797451,0.8143463987713941,0.875753599951882,3.5978428799131604e-24,0.12424640004811799
0.17479005384855378,0.187580960349251,0.8157269662082132,0.8778247865596223,-1.427836791917754e-23,0.12217521344037778
0.1748426151046329,0.18786358321875693,0.8170981836050758,0.8798959731673625,7.815951970136722e-24,0.12010402683263757
0.17489700397814434,0.18814620608826285,0.8184600240845225,0.8819671597751026,-3.741832327689259e-23,0.11803284022489738
0.17495321876459732,0.18842882895776875,0.8198124617001463,0.8840383463828428,3.2165254346296687e-24,0.11596165361715717
0.17501125770450546,0.18871145182727467,0.8211554714378525,0.886109532990583,1.604600431515681e-23,0.11389046700941695
0.1750711189836587,0.18899407469678062,0.8224890292168701,0.8881807195983235,-1.5701067090712292e-23,0.1118192804016766
0.1751328007334026,0.18927669756628648,0.8238131118905185,0.8902519062060634,-2.385005450192893e-24,0.10974809379393655
0.17519630103092584,0.1895593204357924,0.825127697246728,0.8923230928138035,-1.4123260766468004e-24,0.10767690718619649
0.1752616178995551,0.1898419433052983,0.8264327640083139,0.8943942794215438,1.381067756815623e-23,0.10560572057845614
0.1753287493090574,0.19012456617480425,0.8277282918330107,0.8964654660292841,2.2592158431808424e-23,0.10353453397071594
0.17539769317595,0.19040718904431017,0.8290142613132608,0.8985366526370244,2.6464143917206524e-23,0.10146334736297556
0.17546844736381773,0.1906898119138161,0.8302906539757636,0.9006078392447646,1.563810008116283e-23,0.09939216075523537
0.17554100968363723,0.190972434783322,0.8315574522807851,0.9026790258525047,2.117405553970457e-23,0.0973209741474953
0.1756153778941085,0.1912550576528279,0.832814639621229,0.904750212460245,-1.617318833323053e-23,0.09524978753975494
0.17569154970199344,0.19153768052233386,0.8340622003214717,0.9068213990679853,2.0496704457910406e-23,0.09317860093201474
0.17576952276246097,0.19182030339183975,0.835300119635963,0.9088925856757253,3.1332210844529234e-23,0.09110741432427472
0.1758492946794394,0.19210292626134567,0.8365283837475932,0.9109637722834657,-2.1639221926239246e-24,0.08903622771653434
0.17593086300597494,0.1923855491308516,0.8377469797658307,0.9130349588912059,9.462254337450158e-24,0.08696504110879413
0.1760142252445969,0.1926681720003575,0.8389558957246295,0.9151061454989461,1.1322487306795551e-23,0.08489385450105394
0.17609937884768936,0.1929507948698634,0.8401551205801127,0.9171773321066863,-1.0554301915740016e-23,0.08282266789331373
0.17618632121786906,0.19323341773936933,0.8413446442080277,0.9192485187144265,-1.1616650769731875e-23,0.0807514812855735
0.17627504970836919,0.19351604060887528,0.8425244574009844,0.9213197053221669,-8.9221220132765e-24,0.07868029467783313
0.17636556162342942,0.1937986634783812,0.84369455186547,0.9233908919299071,4.522106526691478e-24,0.07660910807009293
0.17645785421869184,0.19408128634788707,0.8448549202186502,0.9254620785376471,4.10985626812209e-24,0.0745379214623529
0.17655192470160247,0.19436390921739302,0.8460055559849544,0.9275332651453875,1.0293603557719522e-23,0.07246673485461252
0.17664777023181827,0.1946465320868989,0.8471464535924504,0.9296044517531274,3.933142783704923e-24,0.07039554824687251
0.1767453879216202,0.19492915495640484,0.8482776083690098,0.9316756383608679,4.104834613455497e-24,0.06832436163913214
0.17684477483633074,0.19521177782591076,0.849399016538268,0.9337468249686081,1.6357562553678152e-23,0.06625317503139193
0.1769459279947374,0.19549440069541665,0.8505106752153829,0.9358180115763483,1.1179437127392944e-23,0.0641819884236517
0.17704884436952092,0.19577702356492258,0.8516125824025933,0.9378891981840884,1.9731877319204473e-23,0.0621108018159115
0.17715352088768846,0.19605964643442853,0.8527047369845792,0.9399603847918288,-6.075981526632582e-24,0.0600396152081713
0.17725995443101145,0.19634226930393442,0.8537871387236305,0.942031571399569,2.3919686356838323e-23,0.05796842860043109
0.1773681418364685,0.19662489217344037,0.8548597882546285,0.9441027580073093,2.2356877315178524e-23,0.055897241992690735
