Date,GC=F,SI=F,HG=F
2021-04-05,0.00028956131663167214,-0.006921794218786884,0.03569840708627201
2021-04-06,0.008361011659377205,0.01796944405302126,-0.005437760323936038
2021-04-07,-0.000804242014787378,0.0008325863727784071,-0.01526187929104689
2021-04-08,0.009551431317729613,0.013228035969468935,0.009672498938159392
2021-04-09,-0.007714103350808669,-0.01014157335096444,-0.012999931559483379
2021-04-12,-0.0069651153108131235,-0.01826062101710527,-0.005073881548938817
2021-04-13,0.008627188966826281,0.022439738894950937,0.0032206173632353353
2021-04-14,-0.006492181509603616,0.0038482563111936485,0.023708710203915604
2021-04-15,0.01742751851072938,0.017136282061545362,0.021624486094410433
2021-04-16,0.007674101250506838,0.005494262425869567,-0.012009036212427845
2021-04-19,-0.005410888818616735,-0.010321738270211623,0.016607777466976493
2021-04-20,0.004454866391931009,0.00015482948981170648,-0.006136441950969237
2021-04-21,0.00840435224167868,0.0278644537050473,0.014688002811719945
2021-04-22,-0.006212471446331363,-0.014828036535074625,-0.0014007337467382489
2021-04-23,-0.002360717879845413,-0.0037128565777268144,0.014495528570305756
2021-04-26,0.001237248457746213,0.005125499972567109,0.02388920803618793
2021-04-27,-0.0006746605385477973,0.007639290307885017,0.0642153066728483
2021-04-28,-0.00270334073967916,-0.01261142127993197,-0.04440381313038166
2021-04-29,-0.002880286458205009,-0.0010741505055554244,-0.009745403319025618
2021-04-30,-0.00045252405155806857,-0.007706232220627603,-0.003120809214669029
2021-05-03,0.013544464845169118,0.04129687963814217,0.014187807813497627
2021-05-04,-0.00874639757494062,-0.015108220261090231,-0.0015421186716272925
2021-05-05,0.004663019601775825,-0.0013951001875812507,0.0006612142306960406
2021-05-06,0.017446839157978355,0.035582994652411076,0.0174714913257196
2021-05-07,0.00855595396027406,0.0,0.031329113091163485
2021-05-10,0.003489086272326999,0.0006188529117249352,-0.006842448062350475
2021-05-11,-0.0008711143226879709,0.00645676566639965,0.009461819095785704
